Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
BAC^W,Bank of America Corporation,25.42,n/a,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bac^w
BAC^Y,Bank of America Corporation,25.77,n/a,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bac^y
BML^G,Bank of America Corporation,19.79,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bml^g
BML^H,Bank of America Corporation,19.79,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bml^h
BML^J,Bank of America Corporation,22.06,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bml^j
BML^L,Bank of America Corporation,21.75,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bml^l
BK^C,Bank Of New York Mellon Corporation (The),25.65,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bk^c
BBT^D,BB&T Corporation,25.4575,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbt^d
BBT^E,BB&T Corporation,25.3999,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbt^e
BBT^F,BB&T Corporation,25.06,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbt^f
BBT^G,BB&T Corporation,25.13,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbt^g
BBT^H,BB&T Corporation,26.2,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbt^h
BDXA,"Becton, Dickinson and Company",61.71,n/a,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/bdxa
BDC^B,Belden Inc,79.45,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bdc^b
BRK.A,Berkshire Hathaway Inc.,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brk.a
BRK.B,Berkshire Hathaway Inc.,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/brk.b
BH.A,Biglari Holdings Inc.,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bh.a
BIO.B,"Bio-Rad Laboratories, Inc.",n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bio.b
BXP^B,"Boston Properties, Inc.",25.08,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bxp^b
BHR^B,Braemar Hotels & Resorts Inc.,18.95,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bhr^b
BHR^D,Braemar Hotels & Resorts Inc.,25.8999,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bhr^d
BSA,BrightSphere Investment Group plc,24.426,n/a,n/a,2016,Finance,Investment Managers,https://www.nasdaq.com/symbol/bsa
DTLA^,Brookfield DTLA Inc.,20,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dtla^
BF.A,Brown Forman Corporation,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bf.a
BF.B,Brown Forman Corporation,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bf.b
BC^A,Brunswick Corporation,26.62,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bc^a
BC^B,Brunswick Corporation,26.4399,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bc^b
BC^C,Brunswick Corporation,26.11,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bc^c
GYB,CABCO Series 2004-101 Trust,21.2,n/a,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gyb
PFH,CABCO Series 2004-101 Trust,6.884,n/a,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/pfh
CAI^A,"CAI International, Inc.",25.56,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cai^a
CAI^B,"CAI International, Inc.",25.52,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cai^b
CPE^A.CL,Callon Petroleum Company,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cpe^a.cl
COF^C,Capital One Financial Corporation,25.4,n/a,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cof^c
COF^D,Capital One Financial Corporation,25.5323,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cof^d
COF^F,Capital One Financial Corporation,25.95,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cof^f
COF^G,Capital One Financial Corporation,25.2572,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cof^g
COF^H,Capital One Financial Corporation,26.45,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cof^h
COF^P,Capital One Financial Corporation,25.45,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cof^p
CIC.U,Capitol Investment Corp. IV,n/a,n/a,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/cic.u
CIC.WS,Capitol Investment Corp. IV,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cic.ws
CMO^E,Capstead Mortgage Corporation,25.7237,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cmo^e
CBL^D,"CBL & Associates Properties, Inc.",8.44,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cbl^d
CBL^E,"CBL & Associates Properties, Inc.",8.16,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cbl^e
CBO,CBO (Listing Market - NYSE - Networks A/E),5.49,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cbo
CBS.A,CBS Corporation,n/a,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cbs.a
