Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
OTTR,Otter Tail Corporation,52.2,2.08B,2080000000,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ottr
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,314.6776,2.07B,2070000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/oneq
TRMK,Trustmark Corporation,31.95,2.07B,2070000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/trmk
TTEC,"TTEC Holdings, Inc.",44.73,2.07B,2070000000,1996,Technology,Professional Services,https://www.nasdaq.com/symbol/ttec
IDCC,"InterDigital, Inc.",64.82,2.06B,2060000000,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/idcc
FIZZ,National Beverage Corp.,44.16,2.06B,2060000000,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/fizz
VRRM,Verra Mobility Corporation,12.99,2.06B,2060000000,2017,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/vrrm
WERN,"Werner Enterprises, Inc.",29.41,2.06B,2060000000,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/wern
IOSP,Innospec Inc.,83.91,2.05B,2050000000,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iosp
OSIS,"OSI Systems, Inc.",113.06,2.05B,2050000000,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/osis
PAAS,Pan American Silver Corp.,13.34,2.05B,2050000000,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/paas
AEIS,"Advanced Energy Industries, Inc.",53.47,2.04B,2040000000,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
TELL,Tellurian Inc.,7.64,2.04B,2040000000,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tell
SATS,EchoStar Corporation,42.35,2.03B,2030000000,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/sats
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ET,16.4,2.03B,2030000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pdbc
RNST,Renasant Corporation,34.68,2.03B,2030000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/rnst
SANM,Sanmina Corporation,29.37,2.03B,2030000000,1993,Technology,Electrical Products,https://www.nasdaq.com/symbol/sanm
FANH,Fanhua Inc.,31.08,2.02B,2020000000,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/fanh
CDEV,"Centennial Resource Development, Inc.",7.27,2.01B,2010000000,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cdev
ZBIO,ProShares UltraPro Short NASDAQ Biotechnology,14.24,2.01B,2010000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/zbio
NSIT,"Insight Enterprises, Inc.",55.92,2B,2000000000,1995,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/nsit
WSBC,"WesBanco, Inc.",36.45,1.99B,1990000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wsbc
ZLAB,Zai Lab Limited,34.06,1.99B,1990000000,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zlab
EPAY,"Bottomline Technologies, Inc.",45.38,1.98B,1980000000,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/epay
GHDX,"Genomic Health, Inc.",53.51,1.98B,1980000000,2005,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ghdx
PRFZ,Invesco FTSE RAFI US 1500 Small-Mid ETF,124.35,1.98B,1980000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/prfz
CSQ,Calamos Strategic Total Return Fund,12.72,1.97B,1970000000,2004,n/a,n/a,https://www.nasdaq.com/symbol/csq
SHEN,Shenandoah Telecommunications Co,39.57,1.97B,1970000000,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/shen
SMPL,The Simply Good Foods Company,24.09,1.97B,1970000000,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/smpl
TOWN,Towne Bank,27.23,1.97B,1970000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/town
UNIT,Uniti Group Inc.,10.69,1.97B,1970000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/unit
CALM,"Cal-Maine Foods, Inc.",40.29,1.96B,1960000000,1996,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/calm
NMIH,NMI Holdings Inc,28.95,1.96B,1960000000,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/nmih
ROIC,Retail Opportunity Investments Corp.,17.11,1.96B,1960000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/roic
CAKE,The Cheesecake Factory Incorporated,43.41,1.96B,1960000000,1992,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/cake
GRPN,"Groupon, Inc.",3.44,1.95B,1950000000,2011,Technology,Advertising,https://www.nasdaq.com/symbol/grpn
ISCA,International Speedway Corporation,44.51,1.94B,1940000000,1996,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/isca
IRTC,"iRhythm Technologies, Inc.",78.15,1.93B,1930000000,2016,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/irtc
LTXB,"LegacyTexas Financial Group, Inc.",39.4,1.92B,1920000000,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ltxb
SNH,Senior Housing Properties Trust,8.09,1.92B,1920000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/snh
CWST,"Casella Waste Systems, Inc.",40.52,1.91B,1910000000,1997,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/cwst
VONV,Vanguard Russell 1000 Value ETF,111.1,1.91B,1910000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vonv
XNCR,"Xencor, Inc.",33.87,1.91B,1910000000,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/xncr
KNSL,"Kinsale Capital Group, Inc.",89,1.89B,1890000000,2016,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/knsl
FOCS,Focus Financial Partners Inc.,27.14,1.88B,1880000000,2018,Finance,Investment Managers,https://www.nasdaq.com/symbol/focs
ACIA,"Acacia Communications, Inc.",46.06,1.87B,1870000000,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
MDRX,"Allscripts Healthcare Solutions, Inc.",11.24,1.87B,1870000000,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
CFFN,"Capitol Federal Financial, Inc.",13.25,1.87B,1870000000,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cffn
DNLI,Denali Therapeutics Inc.,19.63,1.87B,1870000000,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dnli
TWNK,"Hostess Brands, Inc.",14.26,1.86B,1860000000,2015,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/twnk
NTCT,"NetScout Systems, Inc.",23.98,1.86B,1860000000,1999,Technology,EDP Services,https://www.nasdaq.com/symbol/ntct
PPBI,Pacific Premier Bancorp Inc,29.7,1.86B,1860000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ppbi
SPSC,"SPS Commerce, Inc.",103.9,1.86B,1860000000,2010,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/spsc
LSCC,Lattice Semiconductor Corporation,13.98,1.85B,1850000000,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/lscc
VRNS,"Varonis Systems, Inc.",61,1.85B,1850000000,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/vrns
BANR,Banner Corporation,52.4,1.84B,1840000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/banr
RGNX,REGENXBIO Inc.,50.13,1.84B,1840000000,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/rgnx
EGBN,"Eagle Bancorp, Inc.",53.03,1.83B,1830000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/egbn
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,50.94,1.83B,1830000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/slqd
VNOM,Viper Energy Partners LP,29.29,1.83B,1830000000,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/vnom
EHTH,"eHealth, Inc.",79.62,1.8B,1800000000,2006,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/ehth
FRME,First Merchants Corporation,36.2,1.8B,1800000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/frme
PTLA,"Portola Pharmaceuticals, Inc.",26.37,1.8B,1800000000,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptla
